Food type,Methane gas level,Humidity,temperature ,spoiled or not spoiled ,outcome
cooked rice,350,95,32.64,not spoiled,0
cooked rice,350,95,32.66,not spoiled,0
cooked rice,350,95,32.69,not spoiled,0
cooked rice,352,95,32.7,not spoiled,0
cooked rice,352,95,32.72,not spoiled,0
cooked rice,353,95,32.74,not spoiled,0
cooked rice,354,95,32.75,not spoiled,0
cooked rice,354,95,32.75,not spoiled,0
cooked rice,354,95,32.77,not spoiled,0
cooked rice,354,95,32.79,not spoiled,0
cooked rice,354,95,32.81,not spoiled,0
cooked rice,355,95,32.84,not spoiled,0
cooked rice,356,95,32.84,not spoiled,0
cooked rice,356,95,32.87,not spoiled,0
cooked rice,356,95,32.88,not spoiled,0
cooked rice,356,95,32.89,not spoiled,0
cooked rice,356,95,32.89,not spoiled,0
cooked rice,358,95,32.9,not spoiled,0
cooked rice,360,95,32.94,not spoiled,0
cooked rice,360,95,32.94,not spoiled,0
cooked rice,360,95,32.95,not spoiled,0
cooked rice,361,95,32.95,not spoiled,0
cooked rice,362,95,32.97,not spoiled,0
cooked rice,363,95,32.98,not spoiled,0
cooked rice,363,95,32.98,not spoiled,0
cooked rice,364,95,32.99,not spoiled,0
cooked rice,364,95,33.01,not spoiled,0
cooked rice,364,95,33.01,not spoiled,0
cooked rice,365,95,33.03,not spoiled,0
cooked rice,365,95,33.03,not spoiled,0
cooked rice,366,95,33.12,not spoiled,0
cooked rice,367,95,33.14,not spoiled,0
cooked rice,367,95,33.15,not spoiled,0
cooked rice,367,95,33.16,not spoiled,0
cooked rice,368,95,33.17,not spoiled,0
cooked rice,368,95,33.18,not spoiled,0
cooked rice,369,95,33.2,not spoiled,0
cooked rice,370,95,33.24,not spoiled,0
cooked rice,370,95,33.27,not spoiled,0
cooked rice,370,95,33.27,not spoiled,0
cooked rice,370,95,33.27,not spoiled,0
cooked rice,371,95,33.28,not spoiled,0
cooked rice,371,95,33.29,not spoiled,0
cooked rice,371,95,33.3,not spoiled,0
cooked rice,371,95,33.32,not spoiled,0
cooked rice,372,95,33.32,not spoiled,0
cooked rice,373,95,33.33,not spoiled,0
cooked rice,373,95,33.36,not spoiled,0
cooked rice,373,95,33.37,not spoiled,0
cooked rice,373,95,33.37,not spoiled,0
cooked rice,373,95,33.38,not spoiled,0
cooked rice,373,95,33.38,not spoiled,0
cooked rice,374,95,33.38,not spoiled,0
cooked rice,374,95,33.4,not spoiled,0
cooked rice,374,95,33.4,not spoiled,0
cooked rice,374,95,33.42,not spoiled,0
cooked rice,374,95,33.42,not spoiled,0
cooked rice,374,95,33.44,not spoiled,0
cooked rice,376,95,33.45,not spoiled,0
cooked rice,376,95,33.46,not spoiled,0
cooked rice,377,95,33.48,not spoiled,0
cooked rice,378,95,33.49,not spoiled,0
cooked rice,378,95,33.51,not spoiled,0
cooked rice,378,95,33.52,not spoiled,0
cooked rice,379,95,33.54,not spoiled,0
cooked rice,379,95,33.55,not spoiled,0
cooked rice,380,95,33.55,not spoiled,0
cooked rice,380,95,33.56,not spoiled,0
cooked rice,380,95,33.57,not spoiled,0
cooked rice,380,95,33.59,not spoiled,0
cooked rice,381,95,33.6,not spoiled,0
cooked rice,381,95,33.61,not spoiled,0
cooked rice,382,95,33.61,not spoiled,0
cooked rice,382,95,33.61,not spoiled,0
cooked rice,382,95,33.61,not spoiled,0
cooked rice,382,95,33.62,not spoiled,0
